StartupName;Industries;HeadquartersLocation;Description;LastFundingDate;LastFundingAmount;NumberofFundingRounds;LastFundingType;IPOStatus;StartupCountry;Top5Investors
Sticta Biologicals;Alternative Protein Food and Beverage Meat and Poultry Nutrition;Santiago Region Metropolitana Chile;Sticta Biologicals provides atsite production of yeastderived recombinant proteins and key nutrients for the cellbased meat industry;2023-04-12;137467;1;PreSeed;Private;CL;ProVeg Incubator
EmbedX;FinTech Insurance InsurTech;Viña Del Mar Valparaiso Chile;Insuranceasaservice addon for digital platforms in LATAM;2023-03-03;135000;2;Seed;Private;CL;StartUp Chile MuckerLab CORFO
Credibid;Banking Financial Services Mortgage;Santiago Region Metropolitana Chile;Credibid is a platform that uses an auction method to link consumers and lenders to find acceptable mortgage loan offers;2024-04-01;130000;1;PreSeed;Private;CL;
Flair Air Analytics;B2B Facility Management Intelligent Systems Property Management PropTech Smart Building;Santiago Region Metropolitana Chile;Flair is a B2B proptech/healthtech that creates wellness focused on people and reduces the carbon footprint;2023-02-01;122500;2;Angel;Private;CL;Platanus StartUp Chile
pinUp;;Las Condes Region Metropolitana Chile;Connecting brands with influencers for advertising;2023-05-01;115000;1;Angel;Private;CL;
Mywacc;Artificial Intelligence (AI) Financial Services FinTech Machine Learning;Santiago Region Metropolitana Chile;The next Valuations Bureau Turn data into value Analyze compare and capitalize with Mywacc;2023-04-01;100000;1;Angel;Private;CL;CORFO
BurnoutZero;Enterprise Applications Human Resources Productivity Tools Software;Santiago Region Metropolitana Chile;BurnoutZero is a platform for workplace wellbeing that promotes open communication between companies and employees;2023-04-01;100000;1;Angel;Private;CL;
Caudal;Logistics Marketplace Water;Santiago Region Metropolitana Chile;Caudal is an online platform that provides the urbanized water experience for people who rely on tanker trucks in rural areas;2023-06-30;100000;1;Angel;Private;CL;Platanus
Lummy;Artificial Intelligence (AI) Health Care Mental Health;Santiago Region Metropolitana Chile;Lummy is an online application curated to maintain mental health and managing emotions by providing personalized support and understanding;2023-06-30;100000;1;Angel;Private;CL;Platanus
Winston;Artificial Intelligence (AI) EdTech Human Resources Information Technology Personal Development;Santiago Region Metropolitana Chile;Winston is an EdTech company that uses AI and technology to offer coaching services for organizational changes and individual development;2023-10-14;100000;1;Angel;Private;CL;Platanus
Salesia;Information Technology Software;Santiago Region Metropolitana Chile;Salesia is an AIdriven sales training platform to improve salespersonclient interactions with simulated experiences and coaching;2024-01-01;100000;1;Angel;Private;CL;
Tu Mejor Amigo;Pet;Buenos Aires Distrito Federal Argentina;Tu Mejor Amigo is a provider of pet marketplace.;2023-06-30;100000;2;Angel;Private;AR;Platanus
Takenos;Blockchain Cryptocurrency Financial Services Payments;Buenos Aires Distrito Federal Argentina;Wallet for LATAM freelancers;2024-02-21;100000;3;Pre-Seed;Private;AR;Outlier Ventures 500 Global IOVLabs Plassa Capital 500 Startups: Latam
Agrupate Marketplace;Advertising Professional Services Retail Travel Wholesale;Buenos Aires Distrito Federal Argentina;Products Services and Travel Marketplace;2024-03-07;100000;1;Pre-Seed;Private;AR;
Faneando;Content Digital Entertainment Media and Entertainment Social Entrepreneurship Social Media Video;Buenos Aires Distrito Federal Argentina;Faneando offers robust tools for content distribution payment processing and community engagement across diverse genres.;2023-01-01;100000;1;Pre-Seed;Private;AR;
Sylvarum;AgTech Biotechnology Life Science;Yerba Buena Tucuman Argentina;IMPROVING PLANT YIELD USING ELECTROSTIMULATION TECHNOLOGY;2024-05-14;100000;2;Pre-Seed;Private;AR;AgFunder AIR Capital WeXchange
El Ecosistema Startup;EdTech Education Media and Entertainment;Santiago Region Metropolitana Chile;El Ecosistema Startup es una plataforma que ofrece contenido educativo real y auténtico sobre el mundo de las startups;2023-05-28;100000;1;PreSeed;Private;CL;Cristian Tala Sánchez
Gokei;Apps Health Insurance InsurTech;Santiago Region Metropolitana Chile;LatAm Health reimagined;2023-08-01;100000;1;PreSeed;Private;CL;Platanus
Beeing Company;Analytics Food Processing Genetics;Valdivia Los Rios Chile;Beeing Company is a company base to innovation in beekeeping specifically in genetics for preservation honey bee;2023-09-03;100000;1;PreSeed;Private;CL;
Krino;Analytics Artificial Intelligence (AI) Big Data;Concepcion BioBio Chile;Krino is a data processing analysis and artificial intelligencefocused company that optimizes processes and decisionmaking;2023-10-01;100000;3;PreSeed;Private;CL;Newchip Accelerator Inmobiliaria Madesal
ComeS;Agriculture Artificial Intelligence (AI) B2B ECommerce Food and Beverage Information Technology Marketplace Software Supply Chain Management Sustainability;Los Ángeles BioBio Chile;We connect companies with local and diverse suppliers with transparency and traceability;2023-05-05;100000;3;Seed;Private;CL;StartUp Chile devlabs
ADD SKIN;Apps Beauty ECommerce Health Care Software;Santiago Region Metropolitana Chile;Superapp of beauty We are your beauty partner;2023-11-30;100000;2;Seed;Private;CL;500 Global StartUp Chile Platanus Google Launchpad Accelerator Stephanie Truan
HPI International;EdTech Higher Education SaaS;Santiago Region Metropolitana Chile;HPI International is an edtech company that help higher education institutions get more students and boost student success;2023-05-02;90000;1;Seed;Private;CL;StartUp Chile
The Earth Says;AgTech Artificial Intelligence (AI) Farming;Santiago Region Metropolitana Chile;The Earth Says facilitates the interaction between farmers and beekeepers through a platform generating benefits for both parties;2023-05-24;80000;7;Convertible Note;Private;CL;Massachusetts Institute of Technology StartUp Chile CORFO 500 Startups: Latam 500 Latin America
Tufud;Food and Beverage Food Delivery Marketing Restaurants SaaS Supply Chain Management Wholesale;Tandil Buenos Aires Argentina;Tufud is a B2B ordering platform that revolutionizes commerce between companies within the Gastronomic industry.;2023-05-24;80000;1;Pre-Seed;Private;AR;500 Startups: Latam
LedgiFi;Accounting Bitcoin Cryptocurrency Ethereum Financial Services FinTech Software;Santiago Region Metropolitana Chile;Formerly Krypto Ledgers LedgiFi is the first Cryptocurrency Tax & Portfolio Tracker for LatAm;2023-05-24;80000;5;PreSeed;Private;CL;StartUp Chile devlabs 500 Startups: Latam PwC Tax & Legal Tech Springboard Aster
Reite;Computer Vision Internet of Things Retail Technology Software;Santiago Region Metropolitana Chile;Reite transforms fridges cabinets and commercial establishments into intelligent and autonomous points of sale through cameras and AI;2024-05-01;80000;2;PreSeed;Private;CL;StartUp Chile
Speaknosis;Health Care Hospital Medical;Santiago Region Metropolitana Chile;HealthCare ambience analytics for Latam;2024-05-01;80000;1;PreSeed;Private;CL;
The Backstage Club;Artificial Intelligence (AI) Event Management Events Information Technology Internet;Buenos Aires Distrito Federal Argentina;SaaS: The Backstage Club is a whitelabel technology platform that allows users create events.;2023-01-01;75000;1;Pre-Seed;Private;AR;Joaquin Mural Nicolas Fantasia
Flexit;Logistics Software;Buenos Aires Distrito Federal Argentina;Flexit is a comprehensive logistics platform that brings together e-commerce brands with physical stores which we refer to as Flex-Points.;2023-05-25;60000;2;Pre-Seed;Private;AR;Parallel18
FlameSense;Web Development;Santiago Region Metropolitana Chile;FlameSenses aim as a working group is to drive change within what is already established utilizing engineering to provide new answers;2024-07-02;50000;1;Angel;Private;CL;Samuel Lira
Omaly AI;Artificial Intelligence (AI) Big Data Software;Córdoba Cordoba Argentina;Turn your communication into a community through AI;2024-02-01;50000;1;Pre-Seed;Private;AR;La Turbina
trust-transfer;Blockchain Digital Signage Web3;Buenos Aires Distrito Federal Argentina;trust transfer SRL trust transfer LLC;2023-09-27;50000;1;Seed;Private;AR;Workia
Adara;ECommerce ECommerce Platforms Retail Retail Technology SaaS Software;Santiago Region Metropolitana Chile;Adara is a toolkit of softwares that increase ecommerces conversion and improve customer experience using AI;2023-02-01;40000;4;Angel;Private;CL;
RAFI;Information Technology Internet of Things;Santiago Region Metropolitana Chile;We digitalize your inventory and asset tracking with IoT technology;2023-01-10;30000;1;Angel;Private;CL;
Tich;Artificial Intelligence (AI) EdTech Tutoring;Buenos Aires Distrito Federal Argentina;Tich is a smart AI tutor that helps its users pass their exams by studying their subjects with interactive and stimulating study techniques.;2023-09-01;30000;1;Pre-Seed;Private;AR;
Evelo;Concerts Digital Entertainment E-Commerce Platforms Events Media and Entertainment Ticketing;Buenos Aires Distrito Federal Argentina;Platform for buying event tickets. Marketplace for events;2023-04-05;30000;1;Pre-Seed;Private;AR;
DeliryumAI;Artificial Intelligence (AI) Generative AI Security;Santiago Region Metropolitana Chile;DeliryumAI Provides technology for the protection and care of the physical health of workers in highrisk activities;2023-03-01;25000;1;PreSeed;Private;CL;Aster
Luna Pets;Marketplace Pet;Santiago Region Metropolitana Chile;Luna Pets is making pet care more accessible through their marketplace for trusted pet sitters dog walkers trainers and veterinarians;2023-09-22;25000;1;PreSeed;Private;CL;
BRANDLEX;Legal Legal Tech;Santiago Region Metropolitana Chile;BrandLex specializes in the protection registration and defense of intellectual and industrial property assets;2023-12-26;25000;1;Seed;Private;CL;
Duo0;CleanTech Customer Service Housekeeping Service;Córdoba Cordoba Argentina;Duo0 is a cleaning services company that focuses on providing flexible and convenient solutions to our clients.;2023-12-01;20000;1;Pre-Seed;Private;AR;KOI Ventures
SharyCo;Employee Benefits Software Sustainability;Buenos Aires Distrito Federal Argentina;SharyCo makes sustainability part of the organizations DNA by rewarding employees for carrying out sustainable and solidarity actions.;2023-07-15;20000;1;Pre-Seed;Private;AR;
Satellites on Fire;Artificial Intelligence (AI) Forestry Real Time Satellite Communication;Buenos Aires Distrito Federal Argentina;Satellites on Fire helps to detect the real time forest fire through satellite imagery.;2023-11-28;20000;1;Pre-Seed;Private;AR;Techstars AIR Capital
VITECH by Fukai Data;Data Visualization Internet of Things Mining Mining Technology Predictive Analytics Software;Santiago Region Metropolitana Chile;VITECH is a cuttingedge Al startup that is revolutionizing the way mining companies monitor and analyze their mobile equipment;2023-04-20;20000;2;PreSeed;Private;CL;Aster
Drawingsmachines;;Quintero Valparaiso Chile;Drawingsmachines es una empresa dedicada a la gestion de documentacion de profesionales mediante tecnologias innovadoras;2023-05-25;18450;1;PreSeed;Private;CL;
Kairapp;Apps Artificial Intelligence (AI) Gift Logistics Marketplace Personalization;Antofagasta Antofagasta Chile;Kairapp is an AIpowered platform revolutionizing giftgiving;2023-03-20;18150;1;Nonequity Assistance;Private;CL;CORFO
Kalamardigital;AgTech Digital Marketing Machine Learning;Santiago Region Metropolitana Chile;Kalamar is a “ChatGPT“ that creates campaigns for Google or Meta Ads with just a few clicks simultaneously;2024-02-28;15000;1;PreSeed;Private;CL;StartUp Chile
Birding guru;Adventure Travel E-Commerce Software Tourism Travel;Buenos Aires Distrito Federal Argentina;Birding tours aggregator;2023-01-01;10000;1;Pre-Seed;Private;AR;
Bitacora;Information Technology;Buenos Aires Distrito Federal Argentina;SaaS Data Science Blockchain AI;2023-05-15;10000;1;Pre-Seed;Private;AR;Business Development Facilities
Asesoria e Investigacion en Ingenieria e AI;Consulting Financial Services Generative AI Geospatial PropTech;Santiago Region Metropolitana Chile;Geoanalytic Analytics Finance;2023-12-12;10000;2;PreSeed;Private;CL;3IE Gerardo Troitiño
Cboard;Speech Recognition;Córdoba Cordoba Argentina;Cboard works to enhance the quality of life for individuals with disabilities by giving voice back to those who have lost it.;2024-05-30;10000;1;Seed;Private;AR;2Gether-International
